bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_packets,src2dst_bytes,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_min_piat_ms,bidirectional_max_piat_ms,bidirectional_syn_packets,bidirectional_ack_packets,bidirectional_rst_packets,bidirectional_fin_packets,bidirectional_psh_packets
1.0,1,152,0.6,91.2,0.4,60.800000000000004,76.0,152.0,30.400000000000002,228.0,1.0,0.3,0.1,1.0,0,0,0,0,0
89.0,2,246,1.2,147.6,0.8,98.4,61.5,123.0,24.6,184.5,44.5,13.35,0.1,89.0,0,1,0,0,1
8876.0,16,3643,9.6,2185.7999999999997,6.4,1457.2,113.845,227.69,45.538000000000004,341.53499999999997,554.75,166.42499999999998,0.1,8876.0,1,15,0,1,8
8457.0,14,5611,8.4,3366.6,5.6000000000000005,2244.4,200.395,400.79,80.15800000000002,601.1850000000001,604.0714285714286,181.22142857142856,0.1,8457.0,1,13,0,1,7
14541.0,22,3991,13.2,2394.6,8.8,1596.4,90.705,181.41,36.282000000000004,272.115,660.9545454545455,198.28636363636363,0.1,14541.0,1,21,0,1,11
14375.0,25,8241,15.0,4944.599999999999,10.0,3296.4,164.82,329.64,65.928,494.46,575.0,172.5,0.1,14375.0,1,24,0,1,12
1022.0,16,2993,9.6,1795.8,6.4,1197.2,93.53,187.06,37.412,280.59000000000003,63.875,19.162499999999998,0.1,1022.0,1,15,0,1,8
1042.0,18,3210,10.799999999999999,1926.0,7.2,1284.0,89.165,178.33,35.666000000000004,267.495,57.888888888888886,17.366666666666664,0.1,1042.0,1,17,0,1,9
2279.0,19,5446,11.4,3267.6,7.6000000000000005,2178.4,143.315,286.63,57.326,429.945,119.94736842105263,35.984210526315785,0.1,2279.0,1,18,0,1,9
2545.0,10,2456,6.0,1473.6,4.0,982.4000000000001,122.8,245.6,49.120000000000005,368.4,254.5,76.35,0.1,2545.0,1,9,0,1,5
7113.0,21,3444,12.6,2066.4,8.4,1377.6000000000001,82.0,164.0,32.800000000000004,246.0,338.7142857142857,101.61428571428571,0.1,7113.0,1,20,0,1,10
6940.0,17,3168,10.2,1900.8,6.800000000000001,1267.2,93.175,186.35,37.27,279.525,408.2352941176471,122.47058823529412,0.1,6940.0,1,16,0,1,8
6960.0,20,3378,12.0,2026.8,8.0,1351.2,84.45,168.9,33.78,253.35000000000002,348.0,104.39999999999999,0.1,6960.0,1,19,0,1,10
6974.0,14,6957,8.4,4174.2,5.6000000000000005,2782.8,248.465,496.93,99.38600000000001,745.395,498.14285714285717,149.44285714285715,0.1,6974.0,1,13,0,1,7
5807.0,16,1873,9.6,1123.8,6.4,749.2,58.53,117.06,23.412000000000003,175.59,362.9375,108.88125,0.1,5807.0,1,15,0,1,8
5822.0,16,2991,9.6,1794.6,6.4,1196.4,93.47,186.94,37.388,280.40999999999997,363.875,109.1625,0.1,5822.0,1,15,0,1,8
5786.0,12,5565,7.199999999999999,3339.0,4.800000000000001,2226.0,231.875,463.75,92.75,695.625,482.1666666666667,144.65,0.1,5786.0,1,11,0,1,6
5800.0,15,7799,9.0,4679.4,6.0,3119.6000000000004,259.965,519.93,103.98599999999999,779.895,386.6666666666667,116.0,0.1,5800.0,1,14,0,1,7
5887.0,16,2957,9.6,1774.2,6.4,1182.8,92.405,184.81,36.962,277.21500000000003,367.9375,110.38125,0.1,5887.0,1,15,0,1,8
5953.0,16,2957,9.6,1774.2,6.4,1182.8,92.405,184.81,36.962,277.21500000000003,372.0625,111.61874999999999,0.1,5953.0,1,15,0,1,8
